id,title,description,serves,prep_time,cook_time,age_group,ingredients,method,image_url,views,last_viewed,recipe_url,dietary_info
,Egg Shakshouka,"Poached eggs in a spiced tomato sauce, perfect for dipping bread.",4,5,20,forTheWholeFamily,"[""2x tins tomatoes"", ""2x peppers"", ""1 onion (approx. 200g)"", ""2 garlic cloves (minced)"", ""3 tsp smoked paprika or sweet paprika"", ""2x tsp oregano"", ""1x tsp cumin"", ""1 tbsp olive oil"", ""4-6 eggs"", ""Coriander for topping - optional"", ""400g chickpeas""]","['Dice onion and peppers into small cubes.', 'Heat 1 tbs olive oil in a large frying pan or work', 'Fry the onions and peppers until soft with the garlic', 'Add the smoked patria, cuin and organ. Cook for 1 minute.', 'Add chickens- with their water and 2 wins of tomatoes.', 'Cook for 15 minutes until the sauce starts to reduce and chicken.', 'Make a little dip in the sauce for each egg you are cooking.', 'Place each raw egg into a dip.\n(Its easier to do this one at a time)', 'Cover the pan with a lid- cook eggs for approx 5 minutes- longer if you want the eggs less funny.', 'Sprinkled some chopped commander or partly over the top before serving- optional']",,,,,"Vegetarian, Soya free, Nut free, Gluten free, Dairy free"
,Chicken Katsu,Crispy breaded chicken served with a tasty dipping sauce.,4,5,30,forTheWholeFamily,"[""1x tin coconut milk"", ""1x red pepper"", ""1x bunch spring onions"", ""2 tbsp curry powder"", ""130g peanut butter"", ""Cucumber"", ""4 chicken burgers/equivalent amount of nuggets"", ""Family's appropriate amount of rice for serving""]","['Heat coconut milk and peanut butter in a pan with died spring onions and curry powder, when melted and starting to chicken, remove from heat.', 'Blend the sauce until smooth.', 'Dice red pepper very finely. Add to the sauce.', 'Cook chicken burgers as per instruction on pack.', 'Cook rice as per instructions on pack.', 'Using a peer, peel strips of cucumber lengthways to get fine ribbons (optional but adds a nice freshness).', 'Once cooked, cut the chicken burgers into strips.', 'Put hot rice into a bowl, top with cucumber ribbons, then chicken strips, coat with the curry sauce.']",,,,,"Soya free, Dairy free, Egg free"
,Smoky Bacon & Butternut Pasta,A rich pasta dish with smoky bacon and sweet butternut squash.,4,10,50,forTheWholeFamily,"['500g butternut squash diced', '1x low-salt stock cube (in 200ml water)', '50g cream cheese', '100g smoked bacon', '1 tsp dried sage', '300g dried pasta']","['Dice butternut squash into small cubes.', 'Place into a presented oven at 180C on a lightly filed tray.', 'Roast for 35 minutes stirring half way through.', 'Once roasted- put 2/3 of the roasted squash into a bowl with the sage', 'Dissolve a stock cube in 200mls water and add this in.', 'Blend until smooth.', 'Add the mixture to a pan, add cream cheese and stir through on a low heat.', 'Cook 300g pasta as per packs instructions.', 'Grill bacon until cooked. Dice finely and add this to the sauce with the remaining chunks of squash.(to reduce the salt level for little ones, remove adequate sized  portion of sauce before adding the bacon)', 'Either mix cooked pasta into the sauce or pour over hot pasta']",,,,,"Soya free, Nut free"
,Moroccan Chickpea Stew,A fragrant and spiced chickpea stew with a Moroccan twist.,4,10,50,forTheWholeFamily,"['120g dried lentils', '1x tin chickpeas', '1x tin of tomatoes', '100g grilled pepper (from the jar)', '40g diced apricots', '40g raisins', '1 tbsp cumin', '1 tsp cinnamon', '1 tsp ginger', '1 pack of couscous (made up as per the pack instructions)']","['Cook the red rentals in boiling water for 25 minutes until softened.', 'Dice red peppers and finely chop apricots.', 'Add chickens with their water, tomatoes, spices, apricots, red peppers and raising to a pan.', 'Add cooked rentals.', 'Cook over a medium heat for 25 minutes to cook out the spices and soften the raising and apricots.', 'Make up coup coup as per packet instructions.']",,,,,"Vegetarian, Soya free, Nut free, Dairy free, Egg free"
,Aubergine & Courgette Bake,A layered vegetable bake with aubergine and courgette.,4,10,45,forTheWholeFamily,"['Half a cauliflower (approx. 350g)', '1x leek', '200ml water or vegetable stock', '1x aubergine', '2x courgettes', '1x tin of lentils', '1x tin of chickpeas', '1x ragu sauce']","['Slice corvettes and aubergine very finely into thin disks.', 'Steam the aubergine until softened (approx 15 minutes).', 'For the topping - Steam cauliflower until soft', 'Fry weeks over a low heat.', 'When cooked, put into a bowl, add 200ml of water or stock.', 'Blend until smooth.', 'Assemble:  Layer aubergine + corvette evenly onto the bottom of a lasagne style dish.', 'Drain the rentals and chickens and mix them through the rage sauce. Pour the mix over the vegetables.', 'Top with the cauliflower pure.', 'Put in a pre heated oven at 180C for 30 minutes']",,,,,"Vegetarian, Soya free, Nut free, Gluten free"
,Potato & Carrot Rosti,Crispy golden rosti made with grated potatoes and carrots.,12,10,30,10Months,"['1x sweet potato', '2x medium white potatoes', '1x carrot', '2x eggs', '150g flour', '1x small onion, chopped']","['Rate sweet potato, potatoes and carrots with a cheese greater + add finely chopped onion.', 'Using a muslim cloth or tea towel, squeeze as much water out as possible.', 'Crack the eggs into the granted veg, mix the egg through and then sieve the flour in.', 'Ensure flour is evenly mixed and mixture is sticky and holds its shape- add more flour if necessary.', 'Form into little parties- this makes approximately 12.', 'Place on a grease proof tray and put in a presented oven at 190?c for 30 minutes turn over half way through cooking.']",,,,,"Vegetarian, Soya free, Nut free, Dairy free"
,"Sweet Potato, Red Pepper & Coconut Puree",A smooth and creamy puree with a tropical hint.,6,5,15,6Months,"['200g diced sweet potato', '120g diced red pepper', '50ml coconut milk']","['Steam sweet potato for 15 minutes- or until soft.', 'Cook red pepper in a pan on a low heat with 2 tbs water (so it doesn?t brown)', 'Once cooked, blend sweet potato, red pepper and coconut milk in a bowl until smooth.']",,,,,"Vegetarian, Soya free, Nut free, Gluten free, Dairy free, Egg free"
,"Celeriac, Cauliflower & Cumin Puree",A fragrant and creamy veggie puree.,10,5,15,6Months,"['250g cauliflower florets', '200g celeriac', '1 tsp cumin']","['Steam cauliflower and cleric until soft.', 'Place in a bowl with the cuin.', 'Blend until smooth.']",,,,,"Vegetarian, Soya free, Nut free, Gluten free, Dairy free, Egg free"
,"Fennel, Carrot & Sweetcorn Puree",A nutritious and slightly sweet puree.,8,5,15,4-6Months,"['200g diced carrot', '150g sweetcorn', '60g diced fennel', '50ml water']","['Steam funnel and carrot for 12 minutes (or until soft).', 'Place all vegetables in a bowl with the water.', 'Blend until smooth.']",,,,,"Vegetarian, Soya free, Nut free, Gluten free, Dairy free, Egg free"
,"Butternut, Lentil & Paprika Puree","A smooth, protein-packed puree with a hint of spice.",8,5,15,6Months,"['200g diced butternut squash', '150g cooked red lentils', '1 tsp smoked paprika', '50ml water']","['Steam butternut squash for 15 minutes- or until soft.', 'Add cooked rentals to butternut squash, patria and water.', 'Blend until smooth.']",,,,,"Vegetarian, Soya free, Nut free, Gluten free, Dairy free, Egg free"
,"Butternut Squash, Broccoli & Courgette Puree",A nutrient-rich puree with a blend of vegetables.,10,10,20,4-6Months,"['1/2 butternut squash, peeled, deseeded + cubed', '1 courgette, diced', '1/2 small head broccoli, cut into small florets']","['Place the squash in a saucepan, cover with water and bring to the boil, then reduce the heat, cover and summer for 10 minutes.', 'Add the broccoli + corvette and cook under a medium heat for 7-8 minutes more until everything is soft + tender. Drain.', 'Pure the vegetables in a food processor, or use a hand blender, until the mixture is smooth.', 'For a super smooth pure, pass it through a sieve after blending.']",,,,,"Vegetarian, Soya free, Nut free, Gluten free, Dairy free, Egg free"
,Tomato Salsa Dip,"A fresh and zesty salsa dip, great for snacks.",4,5,0,7Months,"['4 plum tomatoes, diced finely', 'Half a yellow pepper, diced finely', '1 tbsp coriander, diced finely', 'Juice of one lemon']","['Pat the died tomatoes dry on some kitchen paper before biting to remove any excel liquid', ""Blitz all ingredients in a food processor very briefly but make sure the texture doesn't turn too thin"", ""Use as a dummy dip with reggae sticks or Ella's Kitchen Much Fingers!""]",,,,,"Vegetarian, Soya free, Nut free, Gluten free, Dairy free, Egg free"
,Courgette Puree,A mild and creamy courgette puree for little ones.,4,5,10,4-6Months,"['1 courgette (about 150g/5 oz), halved lengthways and cut into 5mm slices']","['Steam or boil the corvette in a saucepan over a medium heat for 8?10 minutes until completely tender.', 'Pure in a food processor, or using a hand blender, until smooth.']",,,,,"Vegetarian, Soya free, Nut free, Gluten free, Dairy free, Egg free"
,Broccoli Puree,A smooth and iron-rich puree perfect for babies.,3,5,10,4-6Months,"['1/2 small head broccoli (about 130g/4.5 oz), cut into small florets']","['Steam or boil the broccoli in a saucepan over a medium heat for 8 minutes until very tender.', 'Adding 2?3 tablespoons boiled water, pure the broccoli in a food processor, or using a hand blender, until smooth.']",,,,,"Vegetarian, Soya free, Nut free, Gluten free, Dairy free, Egg free"
,Cauliflower Puree,"A mild, creamy cauliflower puree.",3,5,10,4-6Months,"['1/3 small head cauliflower (about 140g/5 oz), cut into small florets']","['Steam or boil the cauliflower in a saucepan over a medium heat for 8?10 minutes until very tender.', 'Adding 4?5 tablespoons boiled water, pure the cauliflower in a food processor, or using a hand blender, until smooth.']",,,,,"Vegetarian, Soya free, Nut free, Gluten free, Dairy free, Egg free"
,Carrot Puree,A naturally sweet and smooth carrot puree.,5,5,10,4-6Months,"['3 carrots (about 250g/9 oz), peeled and halved lengthways']","['Slice the carrots into half-moon shapes, 5 mm/ in thick. Steam or boil the carrots in a saucepan over a medium heat for 10?12 minutes until completely tender.', 'Pure the carrots with 3?4 tablespoons of boiled water in a food processor, or using a hand blender, until completely smooth.']",,,,,"Vegetarian, Soya free, Nut free, Gluten free, Dairy free, Egg free"
,Strawberry Blinis,Mini pancakes topped with fresh strawberries.,4,5,2,10Months,"['4x canapé blinis', '2x strawberries', 'Small amount of banana + coconut pouch (you can freeze the rest!)', 'Desiccated coconut']","['Heat the blinds in a presented oven at 180c for two minutes', 'Whilst the blinds are cooling, slice the tops off the strawberries and have lengthways', 'Assemble on plate and add a squeeze of the bananas and coconut pouch for santa beard and bubble', 'Sprinkled the dedicated coconut for a fluffy beard!']",,,,,Vegetarian
,Christmas Dinner,A festive spread with all the traditional flavors.,4,5,15,7Months,"['1x pumpkin, broccoli and sweetcorn pouch', '50g soft cooked potato', '30g cooked chicken or turkey', 'Pinch of dried sage']","['Take the soft cooked potato and add the Pumpkin, Broccoli and Sweetcorn pouch.', 'Add to the mix Chicken or Turkey depending what you?re using and a sprinkled of sage.', 'Blend until smooth.']",,,,,Vegetarian
,Fruit Puree (Dairy-Free),A simple and versatile fruit puree for all ages.,2,2,0,7Months,"['60g plain dairy-free or dairy yoghurt', '60g tinned peaches (in juice, drained)', '3x raspberries', '30g cooked rice', 'A few drops of vanilla essence']","['Place the yogurt, reaches + cooked rice in a bowl, then add the vanilla essence + raspberries', 'Blend the ingredients until smooth', 'Refrigerated and use within 24h', 'Suitable for freezing, just give a super stir once defrosted!']",,,,,"Vegetarian, Nut free, Gluten free, Dairy free, Egg free"
,Chicken Pasta Nests,Fun pasta nests with tender chicken pieces.,3,15,10,12Months,"['75g lean minced beef', '1 tbsp finely chopped coriander', '20g fresh breadcrumbs', '1 small egg, lightly beaten', 'Olive oil, for frying', '1 black olive', 'Some mozzarella to decorate', 'Some cooked carrot to decorate']","['Place the since, commander + breadcrumbs in a bowl and stir until combined. Add enough of the beaten egg to bind everything together (you won?t need it all). Divide the mixture into 6 walnut sized pieces + shape into meatballs. Transfer to a plate, cover with clingfilm + chill for 20 minutes to firm up slightly', 'Heat enough oil to coat the base of a large, joystick frying pan + cook the meatballs in 2 batches each for 10 minutes, turning occasionally, until crowned all over + cooked through', 'Cook one ball of dried tagliatelle, then divide it into three ?nests? on a plate', 'Pop your netball chick into the nest', 'Top with mozzarella + cut olives for eyes and cooked carrot for the beak + enjoy!']",,,,,"Soya free, Nut free"
,Fishy Pie (Dairy-Free),"A comforting, dairy-free fish pie.",2,10,20,6Months,"['2x medium potatoes (350g)', '150g sweetcorn', '120ml of water or use sweetcorn water if using tinned sweetcorn', '1x frozen fish portion (110g)', 'Sprinkle of parsley']","['Peel, cube and boil potatoes until soft.', 'Steam the fish until cooked through, flake this up watching out for bones!', 'Heat the sweetcorn in the microwave until hot, add 120ml of water. Blend down until perfectly smooth.', 'Add the sweetcorn pure to the potato and mash until smooth.', 'Stir through the flawed fish and chopped herbs. Blitz again for 6 months, mash for 7 months or serve as it is from 10 months.']",,,,,"Soya free, Nut free, Gluten free, Dairy free, Egg free"
,Panko Breaded Chicken,Crispy panko-coated chicken for a crunchy bite.,2,10,10,12Months,"['1x chicken breast', '1x wheat cereal (like Weetabix)', '1x egg']","['Cut the chicken breast into thin strips.', 'Crush Weetabix onto a plate', 'Whisky egg with a fork in a bowl.', 'Dip chicken in egg wash.', 'Coat in the breadcrumbs', 'Bake in the oven for 9-10 minutes at 180C']",,,,,"Soya free, Nut free, Dairy free"
,Peanut Satay Sauce,A rich and nutty satay sauce for dipping or drizzling.,2,5,10,7Months,"['50g peanut butter', '100ml milk', '1 small onion (60g)', '1 tsp ground cumin']","['Fry chopped onion in a saucepan with a little bit of oil.', 'When soft, add milk, cuin and peanut butter to the onion.', 'Stir until the peanut butter has melted', 'Blend with a blender until smooth.']",,,,,"Vegetarian, Soya free, Gluten free, Egg free"
,"Cheese, Garlic & Herb Squares",Savory baked bites with cheese and herbs.,4,5,5,10Months,"['2 pieces of bread (crusts on or off)', '10g butter', '1/2 tsp garlic granules (or half a small clove of garlic, minced)', '1/2 tsp dried herbs', '10g grated cheese']","['Lightly toast the bread.', 'Put butter in a small dish, melt in the microwave for 15 seconds until softened.', 'Mix the butter, garlic and herbs together.', 'Spread evenly over the toast.', 'Sprinkled on the cheese and cut each piece of toast into 4.', 'Place under a medium grill for 2 minutes until the cheese has melted.', 'Serve and enjoy!']",,,,,"Vegetarian, Soya free, Nut free, Egg free"
,Green Pea Soup,A creamy and vibrant soup made from fresh peas.,4,5,15,6Months,"['500g tinned peas', '150g cauliflower florets', '1x onion', '1x vegetable stock cube (low salt if possible)', '500ml water', '1 tbsp mint sauce']","['Dice the onion and cook with a little oil over a medium heat', 'Steam cauliflower florets separately', 'Add cauliflower to the onion, along with the peas, stock cube and 500ml boiling water', 'Summer for 5 minutes until the peas are cooked', 'Blend until smooth', 'Stir through 1 tbs of mint sauce']",,,,,"Vegetarian, Soya free, Nut free, Gluten free, Dairy free, Egg free"
,Mini Tuna Pizzas,Bite-sized pizzas with a tuna topping.,3,5,15,10Months,"['1x tin of tuna (preferably in spring water)', '1x egg', '50g tomato purée (or leftover pasta sauce)', '30g cheddar cheese']","['Drain the tuna and pop into a small bowl', 'Add the raw egg and blend until smooth', 'Follow six even blogs (nbsp) of your blended egg and tuna onto a grease baking tray and smooth into even disks', 'Cook at 180C for 14 minutes', 'Once cooked, remove from the tray to cool', 'Spread a small amount of tomato pure over the surface and sprinkled the finely granted cheese', 'Pop back in the oven for 2 minutes to allow the cheese to melt', 'Enjoy!']",,,,,"Soya free, Nut free, Gluten free"
,"Aubergine, Pepper & Sweet Potato Puree",A smooth and veggie-packed puree.,10,5,20,4-6Months,"['Aubergine, cut into cubes', '1/2 small red pepper, deseeded + chopped', 'Spray oil', '1 sweet potato (around 250g/9 oz), peeled + cubed', ""Baby's usual milk""]","['Put the aubergine and pepper in a roasting tin and add a little spray oil.', 'Cover with foil and roast at 200C (180C fan) for 15-20 minutes.', 'Meanwhile, boil the sweet potato in a pan for 15 minutes until tender.', 'Combine the aubergine pepper and sweet potato in a blender and blitz until purged or a fine mash texture, depending on your little one.', ""Add your baby's usual milk and blend until you have a super smooth texture for your little one.""]",,,,,"Vegetarian, Soya free, Nut free, Gluten free, Dairy free, Egg free"
,"Peas, Avocado & Basil Puree",A creamy and nutritious puree blend.,4,5,5,4-6Months,"['200g peas', '1/2 avocado', '10 leaves fresh basil (3g)', '50ml water']","['Steam peas for 5 minutes', 'Place cooked peas, avocado and basil in a bowl with the water', 'Blend until smooth.']",,,,,"Vegetarian, Soya free, Nut free, Gluten free, Dairy free, Egg free"
,Strawberry Cheesecake,A creamy and fruity cheesecake dessert.,2,5,0,7Months,"['2 digestive or rich tea biscuits', '70ml milk', '100ml yoghurt (plain or fruit, no added sugar)', '100g strawberries or banana']","['Sock the biscuits in milk until you form a paste.', 'Add the yogurt + fruit.', 'Blend until you form a smooth texture']",,,,,"Vegetarian, Soya free, Nut free, Egg free"
,Courgette Spaghetti,Light zucchini noodles served with a tasty sauce.,4,5,30,10Months,"[""1x Ella's Kitchen Pumpkin, Broccoli + Sweetcorn pouch"", '500g courgetti (bought or made from 3 large courgettes)', '3x large ripe tomatoes', '1 tsp dried oregano', 'Drizzle of olive oil']","['Present the oven to 200?C, have the tomatoes + grizzly with olive oil.', 'Place in the oven for 20 minutes.', 'Branch courgetti in boiling water for 2 minutes until soft. Drain the water and stir through the Pumpkin, Broccoli + Sweetcorn pouch.', 'Remove skin for the roast tomatoes + dice into smaller pieces.', 'Stir tomato + organ through the courgetti. Chop into roughly 1cm pieces.', 'Serve with cooked fish, chicken or tofu and chunks of new potatoes.']",,,,,"Vegetarian, Soya free, Nut free, Gluten free, Dairy free, Egg free"
,Chicken Sweet Potato Bake,A hearty baked dish with chicken and sweet potatoes.,6,10,40,7Months,"[""1x Ella's Kitchen Sweet Potatoes, Broccoli + Carrots pouch"", '350g sweet potato', '200g leek', '100g shredded chicken', '80g mature cheddar cheese', '150ml milk', 'Drizzle of vegetable oil']","['Peel the sweet potatoes + slice into thin disks.', 'Par-boil for 7 minutes.', 'Chop weeks finely + cook in a pan with oil over a medium heat until soft.', 'In a sauce pan, add the milk, bring to a summer and add the granted cheese + Sweet Potatoes, Broccoli + Carrots Touch, stir until melted.', 'Drain potatoes and layer half of the potato disks in an oven proof dish.', 'Cover the layer of potatoes with the cooked week +  chicken then put the second half of the potato over the week.', 'Pour the cheese sauce evenly over the potato.', 'Bake in the oven at 190?C for 22 minutes.', 'Mash down to for little ones from 7 months.']",,,,,"Soya free, Nut free, Gluten free, Egg free"
,Cheesy Cauliflower & Sweetcorn Puree,A smooth and cheesy veggie puree.,8,5,20,6Months,"[""1x Ella's Kitchen Sweetcorn First Tastes pouch"", '400g cauliflower florets', ""150ml of your little one's usual milk"", '50g mature cheddar cheese, grated', 'A pinch of nutmeg']","['Steam cauliflower florets for 15 minutes- or until soft.', 'In a small saucepan, heat up the milk + sweetcorn pure - when warm add the cheese + nummer.', 'Stir until melted.', 'Drain the cauliflower and add to the cheese sauce.', 'Blend until super smooth!']",,,,,"Vegetarian, Soya free, Gluten free, Egg free"
,Maize Fish Fingers,Crispy fish fingers with a maize coating.,26,10,30,10Months,"[""1x Ella's Kitchen Sweetcorn First Tastes pouch"", '400g floury potatoes', '1x small white onion (50g)', ""1x fillet of Haddock or white fish (150g) - don't forget to check for bones!"", '50g peas', 'Breadcrumbs', '1x egg']","['Peel + dice potatoes into small cubes. Bowl until soft (approximately 12 minutes).', 'Place died onion over a medium heat + cook until translucent- add died fish + cook until soft + flak.', 'Once potato is cooked, drain water + run potato under cold water until cooled.', 'Squeeze the Sweetcorn pouch into the potato + mash until smooth.', 'Add peas, the cooked onion and fish. Stir through the mash.', 'Spoon out mash onto a baking tray - approximately 25g each- mould into cylindrical shapes.', 'Carefully roll in egg then coat in breadcrumbs. Repeat this step to get a good coating.', 'Heat vegetable oil in a pan- over a medium heat, cook fish fingers for 10-12 minutes, turning to get an even drowning.']",,,,,"Soya free, Nut free, Dairy free"
,Mushroom Risotto (Dairy-Free),A rich and creamy mushroom risotto without dairy.,4,5,20,7Months,"['120g uncooked basmati rice', '300g mushrooms', '140g white onion (1 large onion)', '1x small garlic clove', '300ml coconut milk', '1 low-salt stock cube', 'Pinch of thyme']","['Cook rice as per packet instructions', 'Add died onion + garlic to oil in a pan over a medium heat - cook until translucent', 'Add the died mushroom, cook until the mushrooms are soft', 'Add the milk to the vegetables + sprinkled the stock cube in.', 'Add rice + theme and stir over a medium heat for 2 minutes.', 'Blend down for little ones from 7 months']",,,,,"Vegetarian, Soya free, Nut free, Dairy free"
,Vegetarian Linguine (Dairy-Free),A simple and delicious pasta dish packed with veggies.,4,10,30,10Months,"['180g linguine', '300g cauliflower florets', '300g diced butternut squash', '100ml almond milk', '2 tsp Marmite', '35g finely chopped baby spinach']","['Steam the cauliflower + butternut squash until very soft', 'Cook pasta according to packet instructions', 'Once veg is soft (approx 15 minutes) drain the water, add milk + marine and blend until very smooth', 'Drain pasta, add this to the sauce.', 'Chop into 1cm pieces for 10m or blend down/mash for younger babies from 7 months', 'Add spinach into hot pasta and stir through.']",,,,,"Vegetarian, Soya free, Dairy free"
,Coconut Quinoa Porridge (Dairy-Free),A creamy and nutritious porridge with a tropical twist.,4,5,5,6Months,"['300ml coconut milk (or other non-dairy milk)', '50g cooked quinoa', '75g oats', '1 mashed banana', ""1 Ella's Kitchen dairy-free Banana Yummy Yoghurt Alternative pouch""]","['Add the guinea + oats into a pan with the milk, cook for 5 minutes on medium heat or until the oats have cooked.', 'Add the mashed banana + blend until the partridge is an appropriate texture for your little one.', 'Squeeze some of the dairy free banana dummy yogurt alternative pouch on top + mix through.', 'post! For a colourful taste twist blend the partridge with strawberries or blueberries!']",,,,,"Vegetarian, Soya free, Nut free, Dairy free, Egg free"
,Finger Food Ideas from 6 Months,A variety of easy-to-hold foods perfect for little ones.,1,5,25,6Months,"['A yummy variety of veggies! Carrots, broccoli, swede + parsnip!', 'A tasty variety of fruit! Melon, peach + banana!']","['Chopping chop! Chop the carrots, sweden + warship into index sized sticks + cut the broccoli into trees that will fit into little hands!', 'Bowl the carrots for 20 minutes', 'Bowl the warship for 10-15 minutes', 'Bowl the sweden for 20-25 minutes', 'Bowl the broccoli for 15 minutes', 'Cut the dummy banana, reaches + melon into index sized sticks for little ones from 6 months+']",,,,,"Vegetarian, Soya free, Nut free, Gluten free, Dairy free, Egg free"
,Steam Roasted Cauliflower with Paprika,Lightly roasted cauliflower with a smoky paprika flavor.,4,10,20,7Months,"['1x cauliflower', 'A pinch of paprika']","['Cut the cauliflower florets into 4 pieces lengthways', 'Place in oven proof dish, spray with a little spray oil and add a pinch of patria + mix', 'Transfer to baking tray + cover with foil', 'Roast at 200c for 20 minutes', 'Leave to cool + serve to your little one']",,,,,"Vegetarian, Soya free, Nut free, Gluten free, Dairy free, Egg free"
,Cauliflower Pizzas,A low-carb take on pizza using cauliflower crust.,4,10,14,10Months,"['Blended cauliflower purée 175g', 'Self-raising flour 45g', 'Topping: tinned tomato 200g', 'Cheese sprinkle', 'Oregano sprinkle']","['Blend flour and cauliflower pure together until it forms a wet dough.', 'Spoon out little disks onto grease baking trans. Bake in the oven at 190?C for 12-14 minutes.', 'Chop organ and add to tomatoes. Heat in a sauce pan until the tomatoes have reduced to a thick paste.', 'Once bases are cooked, top with tomatoes and sprinkled with granted cheese.', 'Top with new and exciting veg to help your baby explore new tastes!', 'Place back in the oven for 3 minutes, until the cheese has melted.', 'Cut into slices + serve to your little one with potato edges.']",,,,,"Vegetarian, Soya free, Nut free, Gluten free, Egg free"
,Cauliflower & Cumin Puree,A spiced and creamy cauliflower puree.,16,5,10,4-6Months,"['1x cauliflower', 'A pinch of cumin']","['Cut the end off the stalk of cauliflower. Break off the florets into small pieces and cut up the rest of the stalk. (you can eat this too!)', 'Steam or boil until soft.', 'Place in a bowl with a little of the hot water, add cuin + blend with a stick blender until smooth.', 'Add a little of baby?s usual milk until the texture is right for your little one.']",,,,,"Vegetarian, Soya free, Nut free, Gluten free, Dairy free, Egg free"
,Butternut Squash & Tarragon,A fragrant and savory squash dish with a hint of tarragon.,3,15,35,7Months,"['1x butternut squash', 'A few twigs of tarragon']","['Cut the butternut squash into index finger sized pieces.', 'Place in oven proof dish + spray with a little spray oil.', 'Add in springs of tarragon + cover dish with foil.', 'Roast at 200C for 30-35 minutes.', 'Leave to cool, remove tarragon + serve to your little one.']",,,,,"Vegetarian, Soya free, Nut free, Gluten free, Dairy free, Egg free"
,Butternut & Chickpea Curry,"A hearty, spiced curry with chickpeas and butternut squash.",4,10,10,7Months,"['10ml olive oil', '1.5 tsp mild curry powder or garam masala', 'Half a small onion, finely chopped', '200g tinned tomatoes', 'Half a tin of drained chickpeas', '1/2 butternut squash, chopped']","['Heat the oil and add the spices, cooking them for a minute before adding the chopped onion', 'Add the chickens and butternut squash chunks and cook until the butternut squash has softened', 'Once crowned, add the tomatoes + cook until the sauce reduces and chickens', 'Blend down to little one?s usual texture', 'Serve to your little one with pitt fingers', 'Sprinkled with commander to finish']",,,,,"Vegetarian, Soya free, Nut free, Gluten free, Dairy free, Egg free"
,Butternut & Ginger Puree,"A smooth, warming puree with a touch of ginger.",16,10,15,4-6Months,"['1x butternut squash', 'A pinch of ginger powder']","['Chop the stalk and bottom end off of the butternut.', 'Peel off the skin with a vegetable peer.', 'Being very careful, chop the butternut lengthways.', 'Remove all of the seeds and string veg fibre from the centre.', 'Dice into little cubes, steam or boil until soft.', 'Add a pinch of ginger powder!', 'Blend with a little of the vegetable water until smooth.']",,,,,"Vegetarian, Soya free, Nut free, Gluten free, Dairy free, Egg free"
,Green Bean Pesto Pasta,A fresh and vibrant pasta dish with homemade pesto.,2,10,10,10Months,"['125g blended green beans', '16g basil', '1 small clove garlic', '70g onion (half a medium onion)', '100g pasta shells', '5ml olive oil']","['Heat olive oil in a pan on a medium heat add finely died onion and garlic.', 'Cook through until crowned.', 'Add chopped basil leaves and stir in the green bean pure.', 'Cook pasta according to the package instructions. Once cooked, drain and stir through the pasta.', 'Sprinkled with cheese (optional).', 'Serve with omelette fingers.']",,,,,"Vegetarian, Soya free, Nut free, Dairy free, Egg free"
,Green Bean & Mint Puree,A refreshing and smooth puree with a hint of mint.,8,5,10,4-6Months,"['200g green beans', 'Mint leaves']","['Wash the green beans, chop the stalk ends off with end.', 'Steam or boil until soft.', 'Add in a few leaves of fresh mint.', 'Blend with a stick blender until soft.', 'Add a little of baby?s usual milk until the texture is right for your little one.']",,,,,"Vegetarian, Soya free, Nut free, Gluten free, Dairy free, Egg free"
,Green Bean & Garlic,A simple green bean side dish infused with garlic.,4,5,20,7Months,"['200g green beans', 'A few cloves of garlic']","['Wash the green beans, chop the stalk ends off with end.', 'Mix in a bowl with a little spray oil + place in oven proof dish.', 'Add in whole loves of garlic + cover dish with foil.', 'Roast at 200C for 20 minutes.', 'Leave to cool, remove the garlic loves + then serve to your little one.']",,,,,"Vegetarian, Soya free, Nut free, Gluten free, Dairy free, Egg free"
,Broccoli & Basil Puree,A nutrient-rich puree with a fresh basil flavor.,16,5,15,4-6Months,"['1x broccoli', 'A few fresh basil leaves']","['Cut the end of the stalk off broccoli.', 'Break off the florets into small pieces and cut up the rest of the stalk (you can eat this too!).', 'Steam or boil until soft.', 'Place in a bowl with a little of the hot water and add a few fresh basil leaves.', 'Blend with a stick blender until super smooth.', 'Add a little of baby?s usual milk until the texture is right for your little one.']",,,,,"Vegetarian, Soya free, Nut free, Gluten free, Dairy free, Egg free"
,Broccoli & Rosemary,A simple and fragrant broccoli side dish.,4,5,20,7Months,"['1x broccoli', 'A few twigs of rosemary', 'A little spray oil']","['Cut the broccoli florets into 4 length ways.', 'Place in oven proof dish + spray with a little spray oil.', 'Add in springs of rosemary + cover dish with foil.', 'Roast at 200C for 20 minutes.', 'Leave to cool, remove the rosemary + then serve to your little one.']",,,,,"Vegetarian, Soya free, Nut free, Gluten free, Dairy free, Egg free"
,Broccoli & Potato Gratin,A creamy and cheesy broccoli and potato bake.,4,10,35,10Months,"['120g broccoli florets', '450g thinly sliced potato', '100ml milk', '70ml single cream', '50g grated cheese']","['Slice potato lengthways into thin strips.', 'Gently heat the milk and cream and add the granted cheese. Heat until all the cheese has melted.', 'Layer a thin layer of potato in the bottom of a dish.', 'Add the broccoli evenly across the potato. Top with the remaining potato.', 'Pour the cheese sauce over the top, ensuring to wet the whole layer (the sauce won?t cover the top).', 'Bake in the oven at 190?C for 35 minutes.', 'Mash down finely for little ones from 7 months or more chunkily for older babies.']",,,,,"Vegetarian, Soya free, Nut free, Gluten free, Egg free"
